ERROR | 12-07-2019 | 17:03:47 | com.epam.igorpystovit.model.Application -> 'errorLog'
WARN  | 12-07-2019 | 17:03:47 | com.epam.igorpystovit.model.Application -> 'warnLog'
FATAL | 12-07-2019 | 17:03:47 | com.epam.igorpystovit.model.Application -> 'fatalLog'
ERROR | 12-07-2019 | 17:04:31 | com.epam.igorpystovit.model.Application -> 'errorLog'
WARN  | 12-07-2019 | 17:04:31 | com.epam.igorpystovit.model.Application -> 'warnLog'
FATAL | 12-07-2019 | 17:04:31 | com.epam.igorpystovit.model.Application -> 'fatalLog'
ERROR | 12-07-2019 | 17:04:46 | com.epam.igorpystovit.model.Application -> 'errorLog'
WARN  | 12-07-2019 | 17:04:47 | com.epam.igorpystovit.model.Application -> 'warnLog'
FATAL | 12-07-2019 | 17:04:47 | com.epam.igorpystovit.model.Application -> 'fatalLog'
ERROR | 17-07-2019 | 18:01:40 | com.epam.igorpystovit.model.dao.interfaces.GeneralDAO -> 'Something went wrong while creating row'  
ERROR | 18-07-2019 | 12:31:21 | com.epam.igorpystovit.model.dao.interfaces.GeneralDAO -> 'THis plane is already be taken'  
